Hex	Category	Name	Environment	Description
#FF007C	purples	Winter Sky		A bright, electric pink-purple inspired by the dramatic colors that sometimes appear in winter skies during sunrise or sunset. Winter Sky captures the unexpected beauty of cold weather, the contrast of vibrant colors against snowy landscapes, and the magical quality of winter light. This color is often used in design to convey energy, contrast, and the surprising beauty of winter.
#FF007F	purples	Rose		Similar to rose petals, it's a vibrant medium purple.
#FF0090	purples	Magenta (Process)		A vibrant medium purple reminiscent of royal velvet.
#FF00FF	purples	Magenta		A bold, electric pink-purple named after the Battle of Magenta in 1859, where French and Sardinian forces defeated Austrian troops. This color represents the perfect balance between red and blue in the color spectrum and is one of the primary colors in digital color models. Magenta's vibrant, attention-grabbing quality has made it popular in advertising, fashion, and digital design.
#FF1493	purples	Deep Pink		Similar to violet blossoms, it's a vibrant medium purple.
#FF1DCE	purples	Hot Magenta		This purple evokes royal velvet with its vibrant medium tone.
#FF2400	reds	Scarlet		A brilliant red-orange color with a rich history dating back to medieval Europe. The name 'scarlet' originally referred to a fine woolen cloth dyed with kermes, a red dye made from the dried bodies of scale insects. This expensive dye was reserved for the highest ranks of society and was used in royal garments and ecclesiastical vestments. Scarlet's association with power and prestige continues today, where it represents authority and importance in uniforms and ceremonial dress.
#FF33CC	purples	Razzle Dazzle Rose		Named after rose petals, this purple has a vibrant light look.
#FF355E	reds	Radical Red		A bold, intense red that represents revolutionary change, political activism, and the energy of social movements. This color symbolizes the power of collective action and the courage to challenge established norms. Radical Red's association with political change and social justice has made it significant in activist and progressive design.
#FF3800	reds	Coquelicot		A vibrant medium red reminiscent of a fresh rose.
#FF3855	reds	Sizzling Red		Similar to a fresh rose, it's a vibrant light red.
#FF43A4	purples	Wild Strawberry		A vibrant light purple reminiscent of lavender fields.
#FF4500	oranges	Red-Orange / Zarqa		A vibrant orange-red reminiscent of glowing sunsets and desert warmth. Known as zarqa in Middle Eastern tradition, this hue conveys energy and exotic beauty.
#FF5349	reds	Orange-Red (Crayola) / Red-Orange		A vibrant light red reminiscent of fresh roses and ripe cherries.
#FF5470	reds	Fiery Rose		Named after rose petals, this red has a vibrant light look.
#FF5800	oranges	Orange (Pantone)		Named after autumn leaves, this orange has a vibrant medium look.
#FF5A36	reds	Portland Orange		A bright, energetic orange named after the city of Portland, Oregon, known for its vibrant arts scene and progressive culture. This color represents urban creativity, community spirit, and the dynamic energy of modern city life. Portland Orange's association with artistic innovation and civic pride has made it popular in urban and cultural branding.
#FF6347	reds	Tomato		A lively, juicy red inspired by the ripe tomato, a fruit native to the Americas and brought to Europe in the 16th century. Tomatoes revolutionized global cuisine, becoming a staple in dishes from Italian pasta sauces to Mexican salsas. The color tomato red is associated with freshness, vitality, and culinary creativity, and is often used in food branding to evoke appetite and warmth.
#FF66CC	purples	Rose Pink		A vibrant light purple reminiscent of rose petals.
#FF6700	oranges	Safety Orange (Blaze Orange)		A vibrant medium orange reminiscent of tangerine peel.
#FF681F	oranges	Orange-Red / Red-Orange (Crayola)		A vibrant medium orange recalling tangerine peel and glowing sunsets.
#FF69B4	purples	Hot Pink		A vibrant light purple reminiscent of lavender fields.
#FF6E4A	reds	Outrageous Orange		A vibrant light red reminiscent of a fresh rose.
#FF6FFF	purples	Shocking Pink (Crayola) / Ultra Pink		A vibrant light purple reminiscent of royal velvet.
#FF7518	oranges	Pumpkin		A warm, vibrant orange inspired by the pumpkin fruit, which has been cultivated in the Americas for over 7,000 years and is central to autumn celebrations and harvest traditions. This color represents seasonal abundance, cultural celebration, and the natural beauty of autumn. Pumpkin's association with harvest festivals and seasonal traditions has made it popular in seasonal and agricultural branding.
#FF7538	oranges	Orange (Crayola)		This orange evokes a glowing sunset with its vibrant light tone.
#FF7800	oranges	Safety Orange		Similar to a glowing sunset, it's a vibrant medium orange.
#FF7A00	oranges	Heat Wave		A vibrant medium orange reminiscent of autumn leaves.
#FF7F00	oranges	Orange		A vibrant, energetic orange that represents enthusiasm, creativity, and adventure. This color has been associated with warmth, vitality, and positive energy throughout human history. Orange's association with joy and social interaction has made it popular in food service, sports, and entertainment industries.
#FF7F50	oranges	Coral		Named after autumn leaves, this orange has a vibrant light look.
#FF8243	oranges	Mango Tango		Similar to autumn leaves, it's a vibrant light orange.
#FF8C00	oranges	Dark Orange		This orange evokes tangerine peel with its vibrant medium tone.
#FF91A4	reds	Salmon Pink		Named after a fresh rose, this red has a vibrant light look.
#FF91AF	purples	Baker-Miller Pink / Schauss Pink		A vibrant light pink associated with psychological studies, evoking lavender fields and royal velvet.
#FF9361	oranges	Strawberry Blonde		Named after tangerine peel, this orange has a vibrant light look.
#FF948E	reds	Mona Lisa		A soft, warm coral inspired by the mysterious smile of Leonardo da Vinci's iconic painting. This color represents artistic genius, timeless beauty, and the enigmatic quality of great art. Mona Lisa's association with cultural heritage and artistic excellence has made it popular in museum and gallery design.
#FF9500	oranges	Tangerine		A bright orange inspired by the tangerine fruit, which originated in Tangier, Morocco, and has been cultivated for its sweet, easy-to-peel segments for centuries. Tangerines are associated with good fortune in Chinese culture and are often given as gifts during the Lunar New Year. Tangerine's association with vitality, good luck, and natural sweetness has made it popular in food and cultural design.
#FF9505	oranges	Yellow Orange (Color Wheel)		A vibrant medium orange reminiscent of a glowing sunset.
#FF9933	oranges	Deep Saffron		Similar to tangerine peel, it's a vibrant light orange.
#FF9966	oranges	Atomic Tangerine		Named after autumn leaves, this orange has a vibrant light look.
#FF9F00	oranges	Orange Peel		Similar to a glowing sunset, it's a vibrant medium orange.
#FFA07A	oranges	Light Salmon		A warm, soft orange-pink inspired by the flesh of the salmon fish, which has been a vital food source for coastal communities for thousands of years. This color represents nourishment, vitality, and the connection between land and sea. Light salmon's association with healthy eating and natural beauty has made it popular in food packaging and wellness design.
#FFA089	reds	Vivid Tangerine		A bright, energetic orange-red inspired by the juicy tangerine fruit, which originated in Tangier, Morocco, and has been cultivated for its sweet, easy-to-peel segments. Vivid tangerine evokes the zest and vitality of citrus fruits, representing freshness, energy, and the invigorating taste of natural sweetness. This color is often used in design to convey enthusiasm, warmth, and appetizing appeal.
#FFA500	oranges	Orange (Web)		Similar to tangerine peel, it's a vibrant medium orange.
#FFA6C9	purples	Carnation Pink		This purple evokes royal velvet with its vibrant light tone.
#FFAA1D	oranges	Bright Yellow (Crayola)		This orange evokes autumn leaves with its vibrant medium tone.
#FFAE42	oranges	Yellow Orange		Similar to autumn leaves, it's a vibrant light orange.
#FFB200	oranges	Chinese Yellow		Similar to autumn leaves, it's a vibrant medium orange.
#FFB6C1	reds	Light Pink		A soft, gentle pink that represents innocence, sweetness, and romantic tenderness. This color has been associated with femininity and youth since the 19th century, when pink became a popular color for baby girls. Light pink's association with love, compassion, and nurturing has made it popular in cosmetics, fashion, and healthcare design.
#FFB7C5	reds	Cherry Blossom Pink		Similar to brick walls, it's a vibrant light red.
#FFBA00	oranges	Selective Yellow		This orange evokes tangerine peel with its vibrant medium tone.
#FFBCD9	purples	Cotton Candy		A vibrant light purple reminiscent of lavender fields.
#FFBD88	oranges	Macaroni And Cheese		A vibrant light orange reminiscent of a glowing sunset.
#FFBF00	oranges	Amber		This orange evokes tangerine peel with its vibrant medium tone.
#FFC0CB	reds	Pink		A soft, gentle color that has been associated with femininity, romance, and tenderness throughout human history. This color represents love, compassion, and the gentle qualities of human nature. Pink's association with nurturing and emotional warmth has made it popular in healthcare, beauty, and romantic design.
#FFC40C	yellows	Mikado Yellow		A bright, golden yellow named after the Japanese emperor (Mikado), representing the imperial color of Japan. This color has been associated with power, authority, and divine right in Japanese culture. Mikado yellow's association with Japanese heritage and imperial tradition has made it significant in cultural and ceremonial contexts.
#FFC680	oranges	Buff		Named after a glowing sunset, this orange has a vibrant light look.
#FFCBA4	oranges	Peach (Crayola)		This orange evokes fresh peaches with its vibrant light tone.
#FFCC33	yellows	Sunglow		Named after ripe lemons, this yellow has a vibrant light look.
#FFD300	yellows	Cyber Yellow / Yellow (NCS)		A vibrant medium yellow inspired by ripe lemons and sunflower petals.
#FFD700	yellows	Gold (Web) (Golden)		This yellow evokes morning sunlight with its vibrant medium tone.
#FFD800	yellows	School Bus Yellow		Similar to sunflower petals, it's a vibrant medium yellow.
#FFDAB9	oranges	Peach Puff		Similar to fresh peaches, it's a vibrant light orange.
#FFDAE9	purples	Mimi Pink		A soft, gentle pink that represents innocence, sweetness, and childlike wonder. This color has been associated with baby girls and young children since the 19th century. Mimi pink's association with tenderness and nurturing has made it popular in children's products and healthcare design.
#FFDB00	yellows	Sizzling Sunrise		Similar to morning sunlight, it's a vibrant medium yellow.
#FFDB58	yellows	Mustard		A warm, golden yellow inspired by the mustard seed, which has been used as a spice and condiment for over 5,000 years. This color represents flavor, warmth, and the rich traditions of culinary arts. Mustard's association with comfort food and traditional cooking has made it popular in food packaging and restaurant branding.
#FFDDCA	oranges	Unbleached Silk		Similar to autumn leaves, it's a vibrant light orange.
#FFDDF4	purples	Pink Lace		This purple evokes violet blossoms with its vibrant light tone.
#FFDEAD	oranges	Navajo White		A warm, off-white color inspired by the traditional white clay used by the Navajo people in their pottery and ceremonial practices. This color represents craftsmanship, tradition, and the connection to natural materials. Navajo white's association with Native American traditions and sustainable living has made it popular in artisanal and cultural design.
#FFDF00	yellows	Golden Yellow		Named after morning sunlight, this yellow has a vibrant medium look.
#FFE135	yellows	Banana		A creamy yellow inspired by the banana fruit, which has been cultivated for over 7,000 years and is one of the world's most important food crops. Bananas are native to Southeast Asia and have spread globally, becoming a symbol of tropical abundance and natural sweetness. Banana yellow's association with health, energy, and tropical living has made it popular in food packaging and wellness design.
#FFE4B5	oranges	Moccasin		A warm, soft beige inspired by traditional Native American moccasin shoes, which were crafted from soft leather and worn for comfort and protection. This color represents craftsmanship, tradition, and the connection to natural materials. Moccasin's association with heritage and comfort has made it popular in footwear and outdoor design.
#FFE4C4	oranges	Bisque		This orange evokes tangerine peel with its vibrant light tone.
#FFE4E1	reds	Misty Rose		A soft, pale pink that captures the delicate color of rose petals in morning mist. This color represents gentle beauty, romance, and the tender quality of early love. Misty rose's association with sweetness and innocence has made it popular in bridal and romantic design.
#FFE5B4	oranges	Peach		Similar to fresh peaches, it's a vibrant light orange.
#FFEB00	yellows	Middle Yellow		Similar to ripe lemons, it's a vibrant medium yellow.
#FFEBCD	oranges	Blanched Almond		Similar to a glowing sunset, it's a vibrant light orange.
#FFEF00	yellows	Canary Yellow		This yellow evokes sunflower petals with its vibrant medium tone.
#FFEFD5	oranges	Papaya Whip		A soft, warm cream inspired by the tropical papaya fruit, which has been cultivated for its sweet taste and nutritional value for thousands of years. This color represents tropical abundance, natural sweetness, and the vibrant culture of tropical regions. Papaya whip's association with tropical living and natural wellness has made it popular in resort and wellness design.
#FFF0F5	neutrals	Lavender Blush		Named after lavender blossoms, this neutral has a vibrant light look.
#FFF5EE	neutrals	Seashell		This neutral evokes the open sea with its vibrant light tone.
#FFF600	yellows	Cadmium Yellow		A brilliant, opaque yellow pigment made from cadmium sulfide, discovered in 1817 by German chemist Friedrich Stromeyer. This synthetic pigment replaced the toxic orpiment (arsenic sulfide) and provided artists with a stable, lightfast yellow. Cadmium yellow's exceptional covering power and resistance to fading made it essential for Impressionist and Post-Impressionist painters seeking to capture sunlight and warmth in their work.
#FFF700	yellows	Lemon		A bright, zesty yellow inspired by the lemon fruit (Citrus limon), which originated in Southeast Asia and was introduced to Europe by Arab traders. Lemon's vibrant color represents freshness, vitality, and the tangy flavor of citrus. This color has been associated with cleanliness and purity, making it popular in household products and cleaning supplies. Lemon yellow's cheerful, energizing quality has made it a favorite in food packaging and summer design.
#FFF8DC	yellows	Cornsilk		Named after morning sunlight, this yellow has a vibrant light look.
#FFF8E7	neutrals	Cosmic Latte		A vibrant light neutral reminiscent of weathered stone.
#FFFACD	yellows	Lemon Chiffon		Similar to ripe lemons, it's a vibrant light yellow.
#FFFAF0	neutrals	Floral White		Named after driftwood, this neutral has a vibrant light look.
#FFFAFA	neutrals	Snow		A vibrant light neutral reminiscent of driftwood.
#FFFDD0	yellows	Cream		This yellow evokes ripe lemons with its vibrant light tone.
#FFFF00	yellows	Yellow		The purest form of yellow, representing joy, optimism, and the energy of sunlight. Yellow has been associated with happiness and enlightenment across cultures, from the golden robes of Buddhist monks to the cheerful daffodils of spring. This color serves as a universal symbol of hope, creativity, and the bright promise of new beginnings.
#FFFF31	yellows	Daffodil	flowers	A bright yellow with a hint of orange, inspired by the daffodil flower (Narcissus), which is celebrated as a symbol of spring and renewal in many cultures. Daffodils are associated with hope, new beginnings, and poetic inspiration, famously referenced in William Wordsworth's poetry. Their vibrant color marks the end of winter and the promise of warmer days, making daffodil yellow a favorite in seasonal art and celebrations.
#FFFF66	yellows	Laser Lemon / Unmellow Yellow		A vibrant light yellow reminiscent of morning sunlight and sunflower petals.
#FFFF99	yellows	Canary		Named after sunflower petals, this yellow has a vibrant light look.
#FFFF9F	yellows	Lemon Yellow		A pale, cool yellow with green undertones inspired by the lemon fruit, which originated in Asia and has been cultivated for over 2,500 years. Lemons have been valued for their medicinal properties, culinary uses, and symbolic meaning of purification and freshness. Lemon yellow's association with cleanliness, vitality, and natural energy has made it popular in healthcare, food service, and wellness branding.
#FFFFE0	yellows	Light Yellow		A soft, gentle yellow that captures the warm glow of early morning sunlight. This color represents optimism, clarity, and gentle warmth. Light yellow's association with sunshine and positive energy has made it popular in children's products and wellness design. The color's cheerful, uplifting quality makes it ideal for creating bright, welcoming environments.
#FFFFF0	neutrals	Ivory		Similar to weathered stone, it's a vibrant light neutral.
#FFFFFF	neutrals	White		The purest form of light, representing clarity, innocence, and new beginnings. White has been associated with purity and goodness across cultures, from bridal traditions to medical uniforms. This color serves as a blank canvas for creativity while symbolizing hope, cleanliness, and the potential for infinite possibilities.
